identifier,idProduit,itemId,produitEan13,pviIncrement,capacite,qteMaxPanier,marque,libelle,conditionnement,prix,unitPrice,prixKg,prixBarre,vignetteCollector,pictogrammes,poidsMinimum,poidsNet,poidsUnite,volume,isTrad,isPresentAlcoholProduct,avantages,origine,categorie,nbPiece,typeProduit_code,typeProduit_value,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_idCategorie,pictogrammes_idPicto,pictogrammes_image,pictogrammes_infoBulle,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,images_3,images_4,images_5,page,nro_paginas
1115,5601066300940,1115,5601066300940,1,500.0,99,Nacional,Esparguete Clássica,Embalagem de 500 g,0.88,1.76,1.76,0.0,0,[],500,500,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DB78376CF8FFABD88E18230FF0FF168D.jpg,,,,,,1,16
11967,5601049612336,11967,5601049612336,1,250.0,99,Mimosa,Manteiga c/ sal,Embalagem de 250g,1.99,7.96,7.96,0.0,0,[],250,250,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C41D77380AC10A8E184B8D4C3C381772.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59AE74FD0DBE6C3112F001AFF69E867.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB9196C3025886DBB6F20EDD70A1CA7A.jpg,,,,1,16
16022,5601146703609,16022,5601146703609,1,5000.0,99,Sagres,Cerveja Mini,20 x 0.25 l,9.99,2.0,2.0,0.0,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",0,0,0,5000,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF51CCF9441973386AEED91491E4E439.jpg,,,,,,1,16
13866,2891048000000,13866,2891048000000,500,1000.0,99,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,3.99,,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",1000,1000,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C9E276B082B119EFEDC2A2B0E1BC737E.jpg,,,,,,1,16
251,2696001000000,251,2696001000000,1,400.0,99,Padaria,Baguete,400 g,0.79,1.98,1.98,,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",400,400,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",-,,,PUP,Pièce avec poids,kg,€/Kg,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/872B1FA740AE707B5EB206709F5F94A0.jpg,,,,,,1,16
7241,3073780902441,7241,3073780902441,1,120.0,99,Babybel,"Queijo light, mini",Embalagem de 120g,2.09,17.42,17.42,0.0,0,[],120,120,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0AA8A610862F0A5133BDCC7393F67A54.jpg,,,,,,1,16
12972,2892040000000,12972,2892040000000,250,1000.0,99,Fruta,Banana,1 un = 200 gr (aprox.),0.99,0.99,0.99,,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",1000,1000,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: COSTA RICA,CAT: I,,PVI,Poids variable à intervalle,,€/Kg,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,,,,1,16
11464,5601018003400,11464,5601018003400,1,1000.0,99,Matinal,Leite Seleccionado Meio Gordo,Embalagem de 1L,0.98,0.98,0.98,0.0,0,[],0,0,0,1000,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D40D4EB6EAF6BEF7329493925CCD97C.jpg,,,,,,1,16
24412,8410436297660,24412,8410436297660,1,1300.0,99,Sonasol,Lava tudo aloe vera e flores brancas,"Embalagem de 1,3L",2.09,1.61,1.61,0.0,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",0,0,0,1300,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/99177C313800E1C306087975E7A5D1E7.jpg,,,,,,1,16
34469,5604260282937,34469,5604260282937,1,750.0,99,Selecção de Enófilos,Vinho rosé regional península de Setúbal,Garrafa de 0.75 l,1.79,2.39,2.39,0.0,0,[],0,0,0,750,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/47CFB05F3D3C532C54D3189B0B4B0BDA.jpg,,,,,,1,16
