index,no_products,id,title
378,16,10622,Palhinhas e Velas de Aniversário
379,27,10623,Descartáveis
380,5,10624,Guardanapos e Toalhas
381,5,10625,Outros
382,5,11217,Velas de Aniversário
383,4,10626,Cutelaria
384,32,10627,"Frigideiras, Tachos e Panelas"
385,3,10628,"Pratos, Travessas e Saladeiras"
386,4,10629,"Copos, Chávenas e Canecas"
387,39,10630,Utensílios de Cozinha
388,40,10631,Conservação de Alimentos
389,5,10726,Fósforos e Palitos
390,7,10632,Outros
391,4,10640,Tratamento de Roupa
392,2,10641,Tábuas de Engomar e Capas
393,12,10642,Estendais e Cabides
394,5,10788,Utilidades
395,1,10645,Meias e Collants
396,24,10647,Têxtil-Lar
397,1,10893,Roupa
398,7,10648,Ferramentas e Acessórios
399,1,10649,Tintas e Vernizes
400,30,10650,Colas e Adesivos
401,1,10944,Aquecimento
402,31,10651,Limpeza e Proteção Auto
403,30,10652,Lubrificação e Manutenção Auto
404,3,10653,Outros
405,16,10787,Ambientores auto
406,11,10656,Pilhas e Lanternas
407,3,10857,Arrumação
408,1,10894,Outros
409,3,11689,Apoio Escolar
410,40,11491,"Cadernos, Blocos e Papel"
411,40,11492,Escrita
412,24,11493,Organização e Arquivo
413,40,11494,"Desenho, Pintura e Moldes"
414,40,11495,Mochilas e Estojos
415,40,11496,Material de Escritório
416,1,11769,Música
417,6,11680,Puzzles e Construções
418,31,11681,Bonecas e Peluches
419,2,11682,Ação e Aventura
420,4,11683,Brinquedos Exterior
