identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,avantages_dateFin,avantages_categorie,images_5,images_6
46203,5601252106950,3000.0,Gallo,"Azeite virgem extra clássico, 3 litros",,23.99,8.0,3000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/74EEFE688B92A52AC6DFA64DE63EC995.jpg,,,,,100.0,PCT,STANDARD,2025-10-10T23:59:59+01:00,AC,2025-10-09T00:00:00+01:00,99.0,23.99,14,1,,,,
23605,5601024335182,1000.0,Fula,Óleo especial fritura,Garrafa de 1 l,1.89,1.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/69E445CB49A81927EAD36F899A4FF4A1.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13914,2891225000000,350.0,Frango,Perna com Costa,1 un. = 300 g (aprox.),1.05,2.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1297D1CD095629263E582A65B4C3857.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
19414,5601028024716,,Renova,"Papel Higiénico Puríssimo 3 Folhas, embalagem c/ 12 rolos",,4.99,4.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6371FB49C9F37CFE36AA4E28DFBAAFF4.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13577,2893572000000,200.0,Peixaria,Pota Inteira Congelada,1 un= 200 gr (aprox.),1.0,4.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2D6321EA80C5271A6C9DE3162C36D95.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
14038,2696013000000,80.0,Padaria,Bola mistura,1 unidade= 80 g,0.19,2.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/509539D5119FE663643D444B9A3F9D6A.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
35947,5604260285716,,Por Si,Rolo De Cozinha Xxl 1 Rolo,,0.99,0.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B5A0A287774C2797FBCEA13262E75167.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
12972,2892040000000,200.0,Fruta,Banana,1 un = 200 gr (aprox.),0.2,0.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1515327A77B72426B2932390DFBE18E5.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
32551,5608527002764,750.0,Casa Ermelinda Freitas,Vinho Vinha da Fonte Setúbal tinto,Garrafa de 0.75 l,2.99,3.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/06E0D835BF6FF987E9BF7993FA3DFA28.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
15489,7613031884247,4000.0,Friskies,"Ração para gato adulto com vaca, frango, embalagem de 4kg",,10.79,2.7,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA74DE430E0D577781082E763F8D5C13.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
37443,7613037040869,250.0,Nestum,"Nestum zero espelta/aveia, embalagem de 250g",,2.24,8.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF80E2BF1A95765256612BEC5A65D8DD.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
52600,5601217137951,1710.0,Quanto,"Amaciador roupa concentrado ouro e orquídea branca, 95 doses",,3.99,2.33,1710,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D5BBE20226E42754DBBAD723FC764C65.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
31516,8435257039107,1280.0,Nestlé,"Yoggi liquido morango, embalagem de 8x160g",,3.89,3.04,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/919C3780A665F064AD1803A3631A5911.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
53258,8445290554499,28.0,Nestlé,"Snack Para Bebé Morango e Banana, 28g",,1.06,37.86,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6892F063E24374E65ABAEF0E93A198F3.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
2778,8410168399939,4000.0,Friskies,"Ração para gato adulto com coelho, embalagem de 4 kg",,10.79,2.7,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48E426D2CA0EFD97E75332E6A0553A7B.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13783,2892309000000,250.0,Fruta,Uva Branca,1 un = 250 gr  (aprox.),0.62,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46D5C18E4CCEA1EBE0EC2064D73FB81C.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
41661,5603769000752,750.0,Piano,Vinho DOC Douro Tinto Reserva,Garrafa de 0.75 l,6.74,8.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0DFAFE37BB6D8C6F3E4E55468B7B398.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
15161,5604260274246,1000.0,PorSi,Cenouras Programa Origens,Embalagem de 1 kg,0.89,0.89,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/558C3AC1450C10C8B2395D06441C5423.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13886,2891108000000,1000.0,Frango,Bife de Frango,Vendido ao peso a partir de 1 kg,8.99,8.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/519BDC237EE2CC43FB5B010D4FF5A15B.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,4.49,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
12978,2892462000000,400.0,Legumes,Alface Frisada,1 un= 400 g (aprox.),0.68,1.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11753DE36CD8D1B450ED5A40B08A088C.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13821,2892597000000,200.0,Legumes,Tomate Cacho,1 un = 200 gr (aprox.),0.32,1.59,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FD67F77AFAB450B6A4FA38E0279E6686.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13894,2891044000000,1000.0,Porco,Entremeada sem Entrecosto,Vendido ao peso a partir de 1 kg,4.49,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/033DDCE7C7F9A9CD99F0A4BEB2F74462.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
9727,5604260273058,200.0,PorSi,Queijo Mozzarela Ralado 200G,,1.64,8.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/87A294803531F1557BAF63F77686243B.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
12888,2892090000000,500.0,Fruta,Manga Avião,1 un=500 gr (aprox.),1.95,3.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3E5B8447376E0E91C2C4BB7B1444B76.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/842EA0C904154D230A3A6F63A245D264.jpg,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
1730,5604260000319,250.0,PorSi,Massa Cuscus 250G,,0.48,1.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46EBB016676D295FEB6BDF8AF4C79600.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13814,2892558000000,250.0,Legumes,Feijão Verde,1 un = 250 gr  (aprox.),1.0,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5688B97D5E073F1C8E51E2F8542D9EC1.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.99,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
37515,5604260294367,1000.0,PorSi,Arroz Agulha Europa 1000G,,1.19,1.19,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3AE7BF941A236F6D331254BF58EBAFEF.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
46352,5604260315178,600.0,PorSi,Iogurte Líquido Infantil Morango 6X100G,,1.09,1.82,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C930411C42FFDB4DA77093EFBEF21604.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
2784,8410199021137,160.0,Ruffles,"Batata frita, embalagem de 160 g",,1.39,8.69,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/99D56823BC057150117915B487192BF1.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
34877,5604260285464,1500.0,PorSi,Maçã royal gala categoria II Programa Origens,Embalagem de 1.5 kg,1.89,1.26,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F091E3663EBAE6E7A8981702DFBCC609.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
43864,5604260310296,1500.0,PorSi,"Lima-Limão Zero 1,5L",,0.67,0.45,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/59A3DE48DE214FDE3CF11677F5E9C81B.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
12066,5604260194063,1000.0,Porsi Vivabem,Bebida De Soja 1L,,0.79,0.79,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/16537218BB43EA3E7F5AFCEAEC229452.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
12943,2892087000000,1500.0,Fruta,Mamão,"1 un = 1,5 kg (aprox.)",5.84,3.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E92859558CF3617793775ADAD1A11B14.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13839,2891006000000,800.0,Novilho,Bife da Pá,Vendido ao peso a partir de 800 g,9.59,11.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5626B1315F40E59D057B37FBCA18064B.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13892,2891041000000,1000.0,Porco,Costeletas do Lombo,Vendido ao peso a partir de 1 kg,4.39,4.39,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/589E4AFE71E19AF7FEB32FB0C0E176FF.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13915,2891249000000,2000.0,Peru,Perna com Osso,Vendido ao peso,9.98,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA6C55F440DB29FDE55EB019973B1FE5.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
15060,2892453000000,1000.0,Programa Origens,Abóbora Butternut,1 un = 1 kg (aprox.),0.99,0.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B52C2C8A1B11C26BA2F358A3355C1A17.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
17402,8412600027233,700.0,Bimbo,Pão forma familiar normal,embalagem de 700 g,1.99,2.84,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BD26753EF23D0DF0FDC14FCDC181B902.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
18864,5604260280506,500.0,PorSi,Iogurte Tipo Grego Stracciatella 4X125G,,1.79,3.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/334F1D6FB360E4136373288319BA5409.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
26091,7613036115575,550.0,Nestlé,Cereais estrelitas,Embalagem de 550g,2.49,4.53,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90505B63FB20AF187537F3B46DDB9B86.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
2779,8410180108038,185.0,Artiach,Bolachas infantil dinossauros,Embalagem de 190g,1.69,9.14,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/93FFBED3F451AE6676EBADF170E0F9AC.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
35983,5601027972735,700.0,Bimbo,Pão de forma torradas familiares,Embalagem de 700 g,2.29,3.27,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/941D42653DC5B120329F1BAE2880C7D0.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
36272,5604260300723,414.0,PorSi,Maionese Top Down 414G,,1.68,4.06,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8FCA627AE2DB4595C7AF33E2C707EA97.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
36713,5604260294886,200.0,PorSi,Queijo Mozzarella Fatiado 200G,,1.94,9.7,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8D6A479839B379AF63A7B0E385C7247C.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
40925,8710522652138,240.0,Calvé,"Maionese top down, embalagem de 240g",,1.48,6.17,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECF2C8ABFC985CAC5B87AA78A2E96931.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8E23B17512BCD2C444A6228885CC4217.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8E23B17512BCD2C444A6228885CC4217.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8E23B17512BCD2C444A6228885CC4217.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8E23B17512BCD2C444A6228885CC4217.jpg,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
46475,5604260315536,1200.0,PorSi,"Alimento Humido Cão Almondega Vaca 1,2Kg",,1.69,1.41,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0F4118D57B1D9BD4E229C42E351F365D.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
9403,5604260042302,150.0,PorSi,Batatas Fritas Lisas Light 150G,,1.09,7.27,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73A0C67508D9BE1C1394925C4F7C5FE3.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
1010,5601038300091,240.0,Knorr,"Caldo de galinha 24 cubos, embalagem de 240g",,2.49,10.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E25834255892D5C9C1047A286FE9847.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
11463,5601018001642,250.0,Gresso,"Manteiga com sal, embalagem de 250g",,2.14,8.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A5F1036925C0C6B8D6C067104A96CDE.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7AC5179CFF33BEA38B382077FB05A477.jpg,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
11942,5603533492202,1000.0,Frize,"Água com gás groselha, pack 4 x 0.25 l",,2.09,2.09,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9F272D120CD1620A52E8FDFD1398797A.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
13094,2893070000000,150.0,Peixaria,Carapau Médio Fresco,1 un = 150 gr (aprox.),0.52,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9E2B2401113767EAD496436587CA5A46.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
14195,5604260271115,270.0,PorSi,Iogurte Cremoso Sob Camada Amora E Mirtilo 2X135G,,1.19,4.41,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B3E7A48E8D8E096D92C89C4D9CBDBB5.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
14372,8712100599392,550.0,Calvé,"Ketchup top down, embalagem de 550g",,2.59,4.71,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D3218F33B22BC3205033BC41E176600.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
14726,8711100080060,400.0,Maizena,"Farinha, embalagem de 400g",,1.64,4.1,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/510CA0D1320DDBD17C988D55861FD3B8.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
1480,5601314000073,9000.0,Vitalis,"Água mineral sem gás, pack 6 x 1.5 l",,2.69,0.3,9000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA3E69EB6FBF3CE3F3256CE592DB9A52.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
17244,5604260278985,270.0,PorSi,Iogurte Cremoso Sob Camada Pêssego 2X135G,,1.19,4.41,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8442F6F00AC2C6059F58275837D337CE.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
1726,5604260000272,250.0,PorSi,Massa Pevide 250G,,0.48,1.92,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A4A2080D7D2A6FF3E0E1E1CA80D0F6AC.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
1774,5604260277841,150.0,PorSi,Mousse Chocolate 150G,,1.29,8.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F0AAE53446AC7A465E1EFC7BE71F14A0.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
1950,5604260056965,200.0,PorSi,Tempero Para Frangos 200G,,0.85,4.25,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/056F4091DCD6823450DFFFC8CEF14C7B.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C2E126B9E5B84C243F0668DEC3869F.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
2785,5601363013222,150.0,Ruffles,"Batata frita presunto, embalagem de 150 g",,1.39,9.27,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7C1F8A2720963F6F12F5A2EE9BFB27BF.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
405,8712566410910,275.0,Calvé,"Ketchup, embalagem de 275g",,1.48,5.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9E63EED4B27A252289B8979C188F5B40.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
42019,5604260306398,500.0,PorSi,Iogurte Tipo Grego Maracujá 4X125G,,1.65,3.3,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0161BD1FBB39AF016EB0BBE025FEDDC9.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
46301,5604260315055,500.0,PorSi,Legumes P/ Sopa Juliana 500G,,1.59,3.18,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/84602A6302C090BF61DCDBEEF6F99BED.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
49463,8445290250322,600.0,Nestum,Flocos Cereais Mel,Embalagem de 600g,3.79,6.32,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4A0A62606AC144021ED115E1FAB3D0CE.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
55263,8445291133372,220.0,Sical,"Café Moído Moagem Universal Tradição Int 11, 220g",,3.34,15.18,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C71B4BE8C62CE03863B42CCFD75F09E.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
56193,5604260329830,500.0,PorSi,Mel 500G,,2.89,5.78,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5A3F3D7CF49D38F01C02C4813FB37362.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
56582,5604260337750,1000.0,PorSi,Brócolos 1Kg,,1.89,1.89,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9D5046E678518F31B4F861D9D4B728E2.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
8396,5601049614330,250.0,Milhafre,"Manteiga com sal, embalagem de 250g",,2.49,9.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DCB9F2F3B36086D35B7173891ABA268.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
951,5601010131217,120.0,Ramirez,"Atum posta em óleo, embalagem de 120g",,1.98,16.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A9FA65BDF4D5D30164F11C66D8B5677D.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
980,5601024134488,750.0,Oliveira da Serra,Azeite virgem extra clássico,Embalagem de 750 ml,5.69,7.59,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/01EF39EFE8396CC9ACA95DC25E9D3412.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
10910,3250390010586,250.0,Páturages,Queijo camembert 45% mg,Embalagem de 250 g,1.99,7.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7C9F5B55F7320E544E58C79F8FBB96B2.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
12109,5604260266623,315.0,PorSi,Croissants Recheados Cacau E Avelã,,1.57,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/214A50F57E12C1081CB4314DCEE96F82.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
1218,5601126039148,1000.0,Sical,"Café 5 estrelas grão, embalagem de 1 kg",,15.39,15.39,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F30913D07FB49FD462FB35C8623DC586.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/352FFCFAE868D5178905BD9725C43B6E.jpg,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
1302,5601151700754,845.0,Compal,"Grão de bico, lata de 850g",,2.09,2.47,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA244D258ED9A9EF750825CAFFB70E24.jpg,,,,,,,,2025-10-15T23:59:59+01:00,PROSPECTUS,,,,14,1,,,,
