identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page
45700,5604260314249,,PorSi,Detergente maquina loiça tudo em 1 limão,Embalagem de 40 cápsulas,4.59,4.59,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E2AF666FA080D39884D54C761B4D071C.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
6460,8410436216777,53.0,Sonasol,Bloco Sanitário Poder Activo Floral,Embalagem de 50 g,1.98,37.36,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/428A90D17C72E1CEA455915A18AE3510.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
7231,3059941005008,750.0,Harpic,"Gel wc tripla ação com lixívia, de 750 ml",,1.99,2.65,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/709DE4E0C5656AA740292F75F71F1AE8.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
10274,8410436242172,1100.0,Sonasol,"Lava Tudo Brilhante Floral, embalagem 1,1l",,2.79,2.54,1100,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/01F5925CB3ADDDABA2B9F66C7D55728C.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
36657,5601217132673,500.0,Cillitbang,"Spray lixívia e higiene, de 500 ml",,2.49,4.98,500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D9B27A41A222F2F218026715A414F2D0.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
37948,5601217132697,500.0,Cillitbang,"Spray limpeza casa de banho, embalagem de 500 ml",,2.49,4.98,500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/62E5A8E0A6D5CF81B7A29AA6D1070117.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
45326,5604260314256,,PorSi,Detergentes máquina lavar loiça next generation,30 pastilhas,5.54,5.54,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3877597C67E67FAF94A364481248DE61.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
50954,8006540767689,,Fairy,Detergente Loiça Máquina Ultra,53 pastilhas,13.99,13.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B8715491007747823440062BA929A0DC.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
47979,5604260312740,,PorSi,Detergentes máquina lavar loiça ecológico,26 pastilhas,3.46,3.46,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/78BEBFE1DB31B8C2D02C89E6CE3251D4.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
51779,5604260327089,,PorSi,Detergentes máquina lavar loiça,60 pastilhas,3.79,3.79,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5D0E62FF3D9A0C755640BCC5F7832DD7.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
37045,5601217132659,500.0,Cillitbang,"Spray bolor e sujidade, garrafa de 500 ml",,2.49,4.98,500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2A51671BCEA4544BF377B06769DE1169.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
30165,8410436320573,1100.0,Sonasol,Lava Tudo Brilhante Eucalipto,"embalagem 1,1L",2.79,2.54,1100,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D59B5FEAE0C00D87C9E61FEE70A9A3D.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
38291,8410436343527,1100.0,Sonasol,"Lava Tudo Desinfetante, embalagem 1,1l",,2.79,2.54,1100,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3BCE9789D68C09F6CE19611FDEABB947.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
6475,8410436242264,1100.0,Sonasol,"Lava Tudo Brilhante Madeira, embalagem 1,1l",,2.79,2.54,1100,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/253E2DA4BDA6D34BDD85D7C760DD7434.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
53759,8435495833864,4050.0,Gama,Detergente Máquina Roupa Líquido Floral,Embalagem de 90 Doses,9.99,2.47,4050,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1E291536BF780CF5BF8B661E6DDC660.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B1444808EE37FB337A50B68241AE2CB7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B1444808EE37FB337A50B68241AE2CB7.jpg,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
10272,8410436240109,50.0,Sonasol,"Bloco sanitário blue activ, eucalio",Embalagem de 50 g,1.98,39.6,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AD6EF490A116ED8448E270834FD13125.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
25153,5000146400042,750.0,Harpic,"Líquido wc duraguard pinho da montanha, de 750 ml",,1.99,2.65,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/60482C1A42B437AF7EE7BE6BA2170110.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
43429,5604260310982,1500.0,PorSi,"Detergente para máquina de loiça, gel",Embalagem de 1.5 litros,4.15,2.77,1500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/12FD93B645E13B18088E1CE2D096C3A3.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54346,8435495843733,,Gama,"Detergente Roupa Máquina Líquido Cuidado Diário, 80D",,6.99,6.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E5D9177D92E6E9DF5147C07C4D5C380F.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54537,8700216323154,,Fairy,"Detergente Máquina Loiça Pastilhas Original Tudo em 1 Limão, 41D",,9.98,9.98,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2B102A42507542D79E488629773354F9.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
36658,5601217132680,500.0,Cillitbang,"Spray tira gorduras, garrafa de 500 ml",,2.49,4.98,500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4D381FD6E4284388FB353BA45D1B9045.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
40748,5604260303939,3900.0,PorSi,Amaciador roupa suave,Embalagem de 60 doses,3.49,0.89,3900,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0A60292B92EEAE429EF727A5BBA12C74.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
45046,5604260310999,720.0,PorSi,"Detergente para máquina de loiça, gel",Embalagem de 720 ml,3.59,4.99,720,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/03E6CFD8472C75C398B80D239A2A0CEF.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
10273,8410436240130,50.0,Sonasol,Bloco sanitário blue activ higiene,Embalagem de 50 g,1.98,39.6,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/030C25BBFC0551A8A26341A0DB18F1E8.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
20233,8410436275798,50.0,Sonasol,"Bloco sanitário, Blue Active Floral",Embalagem de 50 g,1.98,39.6,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC5810AD157B74D3DE9D316FD35B4F6E.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
40746,5604260303915,3900.0,PorSi,Amaciador Roupa lavanda,Embalagem de 60 doses,3.49,0.89,3900,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1E42F65EC520561AB208E02A4BED7B5F.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
37046,5601217132666,500.0,Cillitbang,"Spray calcário e sujidade, garrafa de 500 ml",,2.49,4.98,500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0B3643C0021BC8837B6653E8203F1AB4.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
40747,5604260303922,3900.0,PorSi,Amaciador Roupa Rosa,Embalagem de 60 doses,3.49,0.89,3900,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A5648EF59AF42CA6EF6509003A304274.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
51538,8006540752333,,Fairy,Detergente Loiça Máquina Platinum Plus Limão,Pack XXL de 48 pastilhas,13.99,13.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8786FC846898F0510EA5C208486C5D8B.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
53344,3665468500973,750.0,Harpic,"Gel Sanitário Anticalcário, 750ml",,1.99,2.65,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/962E310CD2BDB96B6F0D962949C9D00A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DB98AB086C29F9305C325CE18FE2677.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DB98AB086C29F9305C325CE18FE2677.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DB98AB086C29F9305C325CE18FE2677.jpg,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
53758,8435495833833,4050.0,Gama,Detergente Máquina Roupa Líquido Universal,Embalagem de 90 Doses,9.99,2.47,4050,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0BCCDF12CE017C6722C6965D4E03883F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD6C53630E31CBABE0C055A486FBD5A3.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD6C53630E31CBABE0C055A486FBD5A3.jpg,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54347,8435495843856,,Gama,"Detergente Roupa Máquina Líquido Jasmim, 100D",,9.99,9.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/59368F24AEB9ACBEBF03B871B10185FE.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54536,8006540521830,,Fairy,"Detergente Máquina Loiça Pastilhas Original Tudo em 1, 21D",,5.98,5.98,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1A348FE6C1FFA1BF08E9B5F7635F30CB.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54538,8006540763582,,Fairy,"Detergente Máquina Loiça Pastilhas Original Tudo em 1 Limão, 71D",,13.99,13.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/937EB01E1BF93392425BD6CC2ABF2650.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54539,8700216236669,,Fairy,"Detergente Máquina Loiça Pastilhas Platinum Plus Tudo em 1 Limão, 19D",,6.69,6.69,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8EF65916B83E06C892876A46E53055E1.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
9612,5604260303908,3900.0,PorSi,Amaciador Roupa Bosque,Embalagem de 60 doses,3.49,0.89,3900,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2BB2C9FB9CC3A34C1DF5A6A8678A6892.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
52341,8006540767849,,Fairy,Detergente Máquina Loiça Pastilhas Ultra,21 Pastilhas,6.69,6.69,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E45C1DEF241964B22BEBD0F0F81CD440.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54352,8015100563067,,Bref,"Bloco Sanitário Poder Activo Pinho, 1un.",,1.98,1.98,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6548556EC6635D4135DFA79429658369.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
54353,8410436151061,,Bref,"Bloco Sanitário Poder Activo Limão, 1un.",,1.98,1.98,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7D22586A2923D352F35C0213A1170424.jpg,,,,2025-04-02T23:59:59.999999999+01:00,PROSPECTUS,1,1
