Product ID,Title,EAN,Family ID,Department ID,Packaging,Brand,Category,Price,Price Per Unit,Image URL,Promo End,Product URL
13865,Costeletas do Cachaço,2891042000000,11539,11537,Vendido ao peso a partir de 1 kg,Porco,,"4,98€/Kg","4,98€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/D0D96FA697CD7DF7D0B353E0ED0B1193.jpg,2025-01-08T23:59:59.999Z,/product/costeletas-do-cachaco/2891042000000
13866,Bifanas,2891048000000,11539,11537,Vendido ao peso a partir de 1 kg,Porco,,"3,99€/Kg","3,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,2025-01-08T23:59:59.999Z,/product/bifanas/2891048000000
13893,Entrecosto,2891043000000,11539,11537,Vendido ao peso a partir de 1 kg,Porco,,"6,28€/Kg","6,28€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/AA05EE99D302D59771FCC108473E0700.jpg,2025-01-08T23:59:59.999Z,/product/entrecosto/2891043000000
13894,Entremeada sem Entrecosto,2891044000000,11539,11537,Vendido ao peso a partir de 1 kg,Porco,,"4,88€/Kg","4,88€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/033DDCE7C7F9A9CD99F0A4BEB2F74462.jpg,2025-01-08T23:59:59.999Z,/product/entremeada-sem-entrecosto/2891044000000
13897,Lombo sem Osso,2891053000000,11539,11537,Vendido ao peso a partir de 1 kg,Porco,,"4,49€/Kg","4,49€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,2025-01-08T23:59:59.999Z,/product/lombo-sem-osso/2891053000000
13892,Costeletas do Lombo,2891041000000,11539,11537,Vendido ao peso a partir de 1 kg,Porco,,"4,98€/Kg","4,98€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/589E4AFE71E19AF7FEB32FB0C0E176FF.jpg,2025-01-08T23:59:59.999Z,/product/costeletas-do-lombo/2891041000000
13896,Fígado,2891049000000,11539,11537,Vendido ao peso a partir de 1 kg,Porco,,"2,99€/Kg","2,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/5F0E3D04B0DBB043B98FC650B4149C34.jpg,2025-01-08T23:59:59.999Z,/product/figado/2891049000000
17523,Pá York c/ Osso c/ Couro,2891246000000,11539,11537,Vendido ao peso a partir de 1 kg,Porco,,"4,08€/Kg","4,08€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/B1774B7150E1E65399A00A5F3DC93922.jpg,2025-01-08T23:59:59.999Z,/product/pa-york-c-ou-osso-c-ou-couro/2891246000000
13954,Tiras da Costela/Piano,2891192000000,11539,11537,1 un = 500 gr (aprox.),Porco,,"7,99€/Kg","4,00€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/7D0B09E93398DFB0B31D06D5AFBD6B99.jpg,,/product/tiras-da-costela-ou-piano/2891192000000
13934,Rojões,2891062000000,11539,11537,1 un = 250 gr  (aprox.),Porco,,"3,99€/Kg","1,00€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/925F2FDC1F925A7FD71EE6165315B22E.jpg,,/product/rojoes/2891062000000
