Product ID,Title,EAN,Family ID,Department ID,Packaging,Brand,Category,Price,Price Per Unit,Image URL,Promo End,Product URL
14206,Marmelada,5604260275588,10318,10051,Embalagem de 450g,PorSi,,"3,31€/Kg","1,49€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/FBE9AB530E38FF9F9E5B583FCE276C87.jpg,,/product/marmelada/5604260275588
30181,Geleia de morango,5607238032107,10318,10051,Embalagem de 345 g,Casa de Mateus,,"11,57€/Kg","3,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/C7F13834CCCA4B22757776150195CE5F.jpg,,/product/geleia-de-morango/5607238032107
14205,Marmelada,5604260275571,10318,10051,Embalagem de 900g,PorSi,,"2,99€/Kg","2,69€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/F7B687A6F498B2D58EED70DD4D19E391.jpg,,/product/marmelada/5604260275571
16714,Marmelada,5601319049251,10318,10051,Embalagem de 400g,Ferbar,,"5,98€/Kg","2,39€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/1C281AA94AF90F46135CD075C97AAF26.jpg,,/product/marmelada/5601319049251
30182,Geleia de marmelo,5607238032091,10318,10051,345 g,Casa de Mateus,,"11,57€/Kg","3,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/D534DBD80767D22FACED5B9CD4DDCACE.jpg,,/product/geleia-de-marmelo/5607238032091
43869,Marmelada sem conservantes,5604260311002,10318,10051,Embalagem de 500g,PorSi,,"5,58€/Kg","2,79€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/EBF046DE96245D4391B90B17C35243DB.jpg,,/product/marmelada-sem-conservantes/5604260311002
43874,Marmelada com frutose,5604260312139,10318,10051,Embalagem de 400g,PorSi Viva Bem,,"4,98€/Kg","1,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/B06D2191F6F9E5610852CB3AE307029E.jpg,,/product/marmelada-com-frutose/5604260312139
50371,Goiabada,5604260319510,10318,10051,600 g,PorSi,,"4,98€/Kg","2,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/16A73FD1E5888225D5E355130A343275.jpg,,/product/goiabada/5604260319510
16715,Goiaba,5601319037227,10318,10051,Embalagem de 300g,Ferbar,,"9,30€/Kg","2,79€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/EBFE6CB06CC979C5F62544A29D184D1F.jpg,,/product/goiaba/5601319037227
28260,Marmelada,5601319041996,10318,10051,Embalagem de 800g,Ferbar,,"4,99€/Kg","3,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/E140E5175752DE58250C6DA8CAC4F702.jpg,,/product/marmelada/5601319041996
40049,Marmelada (semadição de açúcares),5604321027484,10318,10051,Embalagem de 400g,Cemporcento,,"6,73€/Kg","2,69€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/F2798C40A1BFFCE0E2D6C7607EDAE7FD.jpg,,/product/marmelada-(semadicao-de-acucares)/5604321027484
44868,Marmelada em cubos,5601319056679,10318,10051,Embalagem de 200g,Ferbar,,"14,95€/Kg","2,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/BF7BD9953E6EB5558A2DFF36CFD5767F.jpg,,/product/marmelada-em-cubos/5601319056679
14684,Creme para barrar de avelãs e cacau,0000080177173,10317,10051,Embalagem de 350G,Nutella,,"12,26€/Kg","4,29€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/3277225B3D0CAE93D52B7650F565CAA9.jpg,,/product/creme-para-barrar-de-avelas-e-cacau/0000080177173
7365,Creme para barrar,3250390114178,10317,10051,Embalagem de 750 g,Noikao,,"5,72€/Kg","4,29€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/DE4E363D7C90EC601D82E3633B55DEC2.jpg,,/product/creme-para-barrar/3250390114178
43867,Manteiga amendoim cremosa,5604260310944,10317,10051,Embalagem de 340g,PorSi,,"5,26€/Kg","1,79€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/88B9ED232D7EB0471500225424858FCE.jpg,,/product/manteiga-amendoim-cremosa/5604260310944
43868,Manteiga amendoim crocant,5604260310951,10317,10051,Embalagem de 340g,PorSi,,"5,26€/Kg","1,79€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/3E32FFBA04408E4C0E214DAF48565EE1.jpg,,/product/manteiga-amendoim-crocant/5604260310951
277,Creme para barrar de avelãs e cacau,0000080135463,10317,10051,Embalagem de 200 g,Nutella,,"14,75€/Kg","2,95€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/E17E01634F3FC9940074AC6CDA0458EC.jpg,,/product/creme-para-barrar-de-avelas-e-cacau/0000080135463
29915,"Manteiga de amendoim cremosa, 500g",5600826202982,10317,10051,,Prozis,,"7,98€/Kg","3,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/5039923B1D2DFB66F663AC55A706C4D6.jpg,,/product/manteiga-de-amendoim-cremosa-500g/5600826202982
44271,Creme para barrar de avelãs e cacau,8000500179864,10317,10051,Embalagem de 600g,Nutella,,"10,65€/Kg","6,39€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/3E92D36D3A02542DBE73946218C7E32B.jpg,,/product/creme-para-barrar-de-avelas-e-cacau/8000500179864
29916,"Manteiga de amendoim crocante, 500g",5600826203613,10317,10051,,Prozis,,"7,98€/Kg","3,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/CA1914B393A02A9776C79C9EDB820EC4.jpg,,/product/manteiga-de-amendoim-crocante-500g/5600826203613
44716,"Manteiga de amendoim crocante, 250g",5600961109689,10317,10051,,Prozis,,"10,36€/Kg","2,59€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/5C49EA58662ED0AB0C9855F8B09D259E.jpg,,/product/manteiga-de-amendoim-crocante-250g/5600961109689
44755,Manteiga amendoim cremosa,8720182022042,10317,10051,Embalagem de 350g,Calvé,,"9,97€/Kg","3,49€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/1111E8E88D09020B513DB5B2CB0B500C.jpg,,/product/manteiga-amendoim-cremosa/8720182022042
719,Creme para barrar duo,3250391062126,10317,10051,Embalagem de 400 g,Noikao,,"5,23€/Kg","2,09€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/0531EAA664293B80B5F7D382385A2E53.jpg,,/product/creme-para-barrar-duo/3250391062126
31195,Manteiga de amendoim,5600826203606,10317,10051,Embalagem de 1 kg,Prozis,,"6,99€/Kg","6,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/C438423B2F99A04704C4F90A64427016.jpg,,/product/manteiga-de-amendoim/5600826203606
44715,"Manteiga de amendoim cremoso, 250g",5600961109672,10317,10051,,Prozis,,"10,36€/Kg","2,59€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/F3BC5DC75EEA4B2A2A2D8261ED4DF01B.jpg,,/product/manteiga-de-amendoim-cremoso-250g/5600961109672
49328,Creme p/ barrar de chocolate e avelã,7622201515003,10317,10051,Embalagem de 600g,Milka,,"8,32€/Kg","4,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/10C1D99202C37F441E99948F81A5AFE2.jpg,,/product/creme-p-ou-barrar-de-chocolate-e-avela/7622201515003
31194,"Manteiga de amendoim 1000 g cremoso, 1 kg",5600826203064,10317,10051,,Prozis,,"6,99€/Kg","6,99€",https://cdn.intermarche.pt/pt/Content/images/boitmal/produit/zoom/4264486B74A43BA7CE52AD0CAABAE8EB.jpg,,/product/manteiga-de-amendoim-1000-g-cremoso-1-kg/5600826203064
